year,ppt,meantmin,meantmax,meanvpd
1975,886.9050009,-3.483165586,9.666899345,9.990665584
1976,479.3903248,-3.061791125,10.36064396,10.0337987
1977,753.0537012,-2.665595247,10.39639072,9.392391775
1978,1336.422923,-3.20814394,9.335968625,8.652602814
1979,873.939676,-3.134724029,9.953041129,9.960665584
1980,1221.133896,-2.707851738,10.14640151,9.706904762
1981,883.8459099,-2.164128791,10.97631494,10.21443182
1982,1789.431557,-3.570519486,8.649350652,7.553560606
1983,1728.66026,-3.016363637,8.770497843,8.486818182
1984,746.6206497,-2.310952393,10.12196428,9.146093074
1985,816.5096111,-3.000627697,10.10332252,9.892472944
1986,1069.077343,-2.175027068,10.64636906,10.39123377
1987,758.5914286,-2.445259738,10.20267318,10.15286797
1988,758.9423358,-1.427256482,11.20624459,10.48495671
1989,562.7925314,-1.422754327,11.0691721,10.52908009
1990,581.437533,-1.724512997,10.76913961,10.90962121
1991,863.8770792,-1.671488083,11.04626622,9.834166667
1992,797.7887038,-1.264875546,11.46678571,9.847597403
1993,992.1766879,-2.668555188,10.41983226,8.345503247
1994,786.961038,-2.540562777,10.66003247,10.89975649
1995,1334.976363,-2.337429645,10.80936688,10.07728896
1996,1641.793313,-1.539269485,11.28784632,11.11524351
1997,867.2014289,-1.790535726,10.78910174,10.26281926
1998,1353.133246,-3.315643938,9.058089819,8.094832251
1999,630.8776616,-1.552148268,11.29451298,10.70155303
2000,901.2591557,-1.586709964,11.1625,10.5584632
2001,1091.621753,-1.317905843,11.20903679,11.07859307
2002,802.2992855,-1.377413425,11.28792208,11.45527056
2003,814.7360393,-0.782110397,11.59037338,11.23564394
2004,700.4804534,-1.450957794,11.15114719,11.92621753
2005,1126.567401,-1.43120671,10.87727271,10.114421
2006,1087.261946,-1.904534632,10.98016773,10.80349567
2007,512.6474016,-1.417851733,11.75539502,12.45555736
2008,769.6246107,-1.185568176,11.60486473,12.05825758
2009,858.3631152,-1.009009744,11.25253788,12.0324513
2010,1422.394612,-1.804404768,10.32614717,10.70066017
2011,784.8717535,-1.79351731,10.58767317,10.17115801
2012,775.6403892,-0.281114729,12.10764608,11.81000541
2013,216.4572078,-0.700449133,11.88084956,11.98208874
2014,542.0689601,0.523766224,12.86564395,12.42570346
2015,564.3260652,-0.155459953,11.94612554,11.51470238
2016,823.6130716,-0.2525698,11.83505247,11.69267857