treeid,year,wpbr,mean_length,mean_num,dbh,plot,drought,pern,n,perc,delta_c,mortality,pair,drought2,Rust,dbhclass
SB4,2012,no,7.961666666666666,28,11.5,SB,Yes,0.93,-2.77,52.76,-29.740000000000002,0,9,Drought,No,Sapling
SB5,2017,yes,6.723333333333334,10.666666666666666,70,SB,No,0.92,-1.31,49.84,-26.83,0,10,NoDrought,Yes,Adult
SB5,2016,yes,7.084333333333333,14.333333333333334,70,SB,No,1.28,-1.48,52.96,-27.37,0,10,NoDrought,Yes,Adult
SB5,2015,yes,6.84,8,70,SB,Yes,1.05,-1.58,51.54,-28.17,0,10,Drought,Yes,Adult
SB5,2014,yes,7.331,12,70,SB,Yes,1.03,-1.57,51.63,-28.15,0,10,Drought,Yes,Adult
SB5,2013,yes,7.426666666666666,9,70,SB,Yes,0.95,-1.81,52.21,-28.190000000000005,0,10,Drought,Yes,Adult
SB5,2012,yes,7.416666666666667,2.3333333333333335,70,SB,Yes,0.93,-1.83,51.59,-28.36,0,10,Drought,Yes,Adult
SB6,2017,no,7.945,9.333333333333334,54.9,SB,No,0.87,-1.82,51.5,-28.32,0,10,NoDrought,No,Adult
SB6,2016,no,8.716,20,54.9,SB,No,0.91,-3.35,52.09,-27.79,0,10,NoDrought,No,Adult
SB6,2015,no,8.067333333333332,13.333333333333334,54.9,SB,Yes,0.88,-3.71,51.14,-29.060000000000002,0,10,Drought,No,Adult
SB6,2014,no,8.987666666666668,14,54.9,SB,Yes,0.79,-4.26,49.97,-28.29,0,10,Drought,No,Adult
SB6,2013,no,8.706999999999999,23.666666666666668,54.9,SB,Yes,0.81,-4.55,51.26,-28.980000000000004,0,10,Drought,No,Adult
SB6,2012,no,8.651666666666667,29.333333333333332,54.9,SB,Yes,0.78,-4.3,50.57,-28.78,0,10,Drought,No,Adult
SB7,2017,yes,7.3196666666666665,9.666666666666666,36.5,SB,No,1.04,-4.56,49.66,-26.61,0,11,NoDrought,Yes,Adult
SB7,2016,yes,6.224999999999999,7.333333333333333,36.5,SB,No,0.86,-4.78,51.23,-26.91,0,11,NoDrought,Yes,Adult
SB7,2015,yes,7.649666666666666,14.666666666666666,36.5,SB,Yes,0.85,-5.21,52.19,-27.010000000000005,0,11,Drought,Yes,Adult
SB7,2014,yes,8.041666666666666,18.333333333333332,36.5,SB,Yes,1.43,-3.28,52.05,-26.54,0,11,Drought,Yes,Adult
SB7,2013,yes,9.043000000000001,18.666666666666668,36.5,SB,Yes,0.94,-5.41,52.02,-28.550000000000004,0,11,Drought,Yes,Adult
SB7,2012,yes,9.611333333333333,19.333333333333332,36.5,SB,Yes,0.8,-5.51,50.58,-28.629999999999995,0,11,Drought,Yes,Adult
SB8,2017,no,10.098,11.333333333333334,27.9,SB,No,1.03,-3.45,50.3,-27.229999999999997,0,11,NoDrought,No,Pole
SB8,2016,no,9.063666666666668,10.666666666666666,27.9,SB,No,1.04,-3.91,51.05,-27.17,0,11,NoDrought,No,Pole
SB8,2015,no,7.484000000000001,11.333333333333334,27.9,SB,Yes,1.06,-3.95,51.18,-26.859999999999996,0,11,Drought,No,Pole
SB8,2014,no,7.681333333333334,14.666666666666666,27.9,SB,Yes,0.98,-4.02,51.98,-26.47,0,11,Drought,No,Pole
SB8,2013,no,9.095666666666666,17.666666666666668,27.9,SB,Yes,0.99,-4.12,51.91,-26.43,0,11,Drought,No,Pole
SB8,2012,no,10.926333333333334,6.666666666666667,27.9,SB,Yes,0.88,-4.15,51.74,-27.29,0,11,Drought,No,Pole
SB9,2017,yes,6.733333333333334,26.333333333333332,20.5,SB,No,1.17,-4.49,50.61,-25.979999999999997,0,12,NoDrought,Yes,Pole
SB9,2016,yes,6.761,27.666666666666668,20.5,SB,No,1.12,-4.68,50.52,-26.409999999999997,0,12,NoDrought,Yes,Pole
SB9,2015,yes,6.576333333333333,21.666666666666668,20.5,SB,Yes,1.03,-4.9,52.09,-26.85,0,12,Drought,Yes,Pole
SB9,2014,yes,5.574666666666666,25.333333333333332,20.5,SB,Yes,0.92,-5,51.89,-26.26,0,12,Drought,Yes,Pole
SB9,2013,yes,5.976333333333333,20.666666666666668,20.5,SB,Yes,0.64,-5.19,51.89,-26.86,0,12,Drought,Yes,Pole
SB9,2012,yes,6.323333333333333,11.666666666666666,20.5,SB,Yes,0.57,-5,52.72,-27.58,0,12,Drought,Yes,Pole
SB10,2017,no,6.602666666666667,13.333333333333334,21.5,SB,No,1.15,-4.63,50.85,-26.93,0,12,NoDrought,No,Pole
SB10,2016,no,6.818666666666666,13.666666666666666,21.5,SB,No,1.13,-5.06,51.76,-27.379999999999995,0,12,NoDrought,No,Pole
SB10,2015,no,6.630333333333333,11,21.5,SB,Yes,1.06,-5.17,51.97,-27.33,0,12,Drought,No,Pole
SB10,2014,no,4.998333333333334,14.666666666666666,21.5,SB,Yes,0.98,-5.4,51.77,-26.21,0,12,Drought,No,Pole
SB10,2013,no,7.215333333333334,16.333333333333332,21.5,SB,Yes,1.02,-5.38,51.97,-27.33,0,12,Drought,No,Pole
SB10,2012,no,7.189,21.666666666666668,21.5,SB,Yes,0.86,-5.34,51.5,-27.42,0,12,Drought,No,Pole
SB11,2017,yes,9.037666666666668,16.333333333333332,20.5,SB,No,1,-5.52,50.02,-28.979999999999997,0,13,NoDrought,Yes,Pole
SB11,2016,yes,8.862333333333334,15.333333333333334,20.5,SB,No,1.1,-6.23,50.89,-29.449999999999996,0,13,NoDrought,Yes,Pole
SB11,2015,yes,7.9430000000000005,15,20.5,SB,Yes,1.18,-6.54,52.04,-30.15,0,13,Drought,Yes,Pole
SB11,2014,yes,8.170333333333334,15.333333333333334,20.5,SB,Yes,1.1,-6.77,51.81,-29.980000000000004,0,13,Drought,Yes,Pole
SB11,2013,yes,6.307333333333333,20.333333333333332,20.5,SB,Yes,0.99,-7.07,51.29,-30.18,0,13,Drought,Yes,Pole
SB11,2012,yes,8.222666666666667,9.333333333333334,20.5,SB,Yes,0.97,-7.01,48.81,-30.340000000000003,0,13,Drought,Yes,Pole
SB12,2017,no,8.745666666666667,19,21.5,SB,No,1.26,-5.57,50.62,-28.47,0,13,NoDrought,No,Pole
SB12,2016,no,8.748666666666667,24.666666666666668,21.5,SB,No,1.2,-6.19,51.5,-28.58,0,13,NoDrought,No,Pole
SB12,2015,no,9.127333333333334,20.333333333333332,21.5,SB,Yes,1.25,-6.13,51.82,-28.980000000000004,0,13,Drought,No,Pole
SB12,2014,no,8.270333333333333,25,21.5,SB,Yes,0.93,-6.43,50.61,-28.01,0,13,Drought,No,Pole
SB12,2013,no,8.810333333333334,26.333333333333332,21.5,SB,Yes,0.83,-6.54,51.08,-28.42,0,13,Drought,No,Pole
SB12,2012,no,9.436,13.666666666666666,21.5,SB,Yes,0.68,-6.33,51,-28.36,0,13,Drought,No,Pole
SB14,2017,yes,4.225333333333333,20.333333333333332,6.3,SB,No,0.86,-4.64,48.4,-25.809999999999995,1,14,NoDrought,Yes,Sapling
SB14,2016,yes,7.115666666666667,29.333333333333332,6.3,SB,No,0.95,-3.88,50.48,-28.1,1,14,NoDrought,Yes,Sapling
SB14,2015,yes,8.569333333333335,26.666666666666668,6.3,SB,Yes,1.02,-4.14,51.6,-29.04,1,14,Drought,Yes,Sapling
SB14,2014,yes,8.130999999999998,25.666666666666668,6.3,SB,Yes,1.06,-4.32,51.58,-28.87,1,14,Drought,Yes,Sapling
SB14,2013,yes,8.756,20.333333333333332,6.3,SB,Yes,0.95,-4.53,56.65,-28.65,1,14,Drought,Yes,Sapling
SB14,2012,yes,9.994,10.666666666666666,6.3,SB,Yes,0.74,-4.17,51.77,-28.489999999999995,1,14,Drought,Yes,Sapling
SB15,2017,no,6.037,42.666666666666664,6.5,SB,No,1.32,-3.24,50.43,-28.27,0,14,NoDrought,No,Sapling
SB15,2016,no,7.165666666666667,52.333333333333336,6.5,SB,No,1.5,-3.92,50.43,-28.769999999999996,0,14,NoDrought,No,Sapling
SB15,2015,no,7.447666666666666,47.666666666666664,6.5,SB,Yes,1.25,-4.12,52.09,-29.96,0,14,Drought,No,Sapling
SB15,2014,no,8.131,40.666666666666664,6.5,SB,Yes,1.13,-4.19,50.69,-29.130000000000003,0,14,Drought,No,Sapling
SB15,2013,no,7.492,43,6.5,SB,Yes,0.87,-4.02,51.7,-29.200000000000003,0,14,Drought,No,Sapling
SB15,2012,no,7.887499999999999,0.6666666666666666,6.5,SB,Yes,0.76,-3.55,48.83,-28.77,0,14,Drought,No,Sapling
SB16,2017,no,7.297666666666667,21,32.2,SB,No,1.07,-5.15,50.33,-26.880000000000003,0,15,NoDrought,No,Adult
SB16,2016,no,7.989999999999999,20,32.2,SB,No,1.28,-5.7,50.67,-27.21,0,15,NoDrought,No,Adult
SB16,2015,no,7.869666666666668,18.333333333333332,32.2,SB,Yes,1.03,-5.95,51.24,-28.25,0,15,Drought,No,Adult
SB16,2014,no,7.63,21,32.2,SB,Yes,0.96,-6.37,51.4,-27.92,0,15,Drought,No,Adult
SB16,2013,no,7.458333333333333,23.333333333333332,32.2,SB,Yes,0.85,-6.32,50.66,-27.950000000000003,0,15,Drought,No,Adult
SB16,2012,no,9.231,13.333333333333334,32.2,SB,Yes,0.77,-6.43,50.48,-27.770000000000003,0,15,Drought,No,Adult
SB17,2017,yes,9.579333333333333,14.666666666666666,35.2,SB,No,1.27,-3.7,50.73,-25.16,0,15,NoDrought,Yes,Adult
SB17,2016,yes,8.902,15,35.2,SB,No,1.19,-4.34,51.49,-26.129999999999995,0,15,NoDrought,Yes,Adult
SB17,2015,yes,8.472,9.666666666666666,35.2,SB,Yes,0.95,-4.54,51.48,-26.340000000000003,0,15,Drought,Yes,Adult
SB17,2014,yes,8.199,11.333333333333334,35.2,SB,Yes,1.01,-4.93,51.58,-25.729999999999997,0,15,Drought,Yes,Adult
SB17,2013,yes,7.204,10,35.2,SB,Yes,NA,NA,NA,NA,0,15,Drought,Yes,Adult
SB17,2012,yes,7.441,3.6666666666666665,35.2,SB,Yes,NA,NA,NA,NA,0,15,Drought,Yes,Adult
SB18,2017,yes,9.920333333333334,16.666666666666668,22.7,SB,No,1.21,-5.09,50.33,-26.92,0,16,NoDrought,Yes,Pole
SB18,2016,yes,10.5,21.666666666666668,22.7,SB,No,1.23,-5.43,50.99,-27.62,0,16,NoDrought,Yes,Pole
SB18,2015,yes,9.328666666666667,23.333333333333332,22.7,SB,Yes,1.16,-5.36,51.9,-28.090000000000003,0,16,Drought,Yes,Pole
SB18,2014,yes,9.798333333333334,22.666666666666668,22.7,SB,Yes,0.85,-5.64,51.54,-27.55,0,16,Drought,Yes,Pole
SB18,2013,yes,9.939333333333334,24,22.7,SB,Yes,0.96,-5.84,51.31,-28.130000000000003,0,16,Drought,Yes,Pole
SB18,2012,yes,10.594,17,22.7,SB,Yes,0.8,-5.86,51.5,-28.07,0,16,Drought,Yes,Pole
SB19,2017,no,8.504666666666667,20.333333333333332,20.9,SB,No,1.05,-4.03,50.36,-28.14,0,16,NoDrought,No,Pole
SB19,2016,no,9.346,20,20.9,SB,No,0.99,-4.4,51.08,-28.17,0,16,NoDrought,No,Pole
SB19,2015,no,8.778333333333334,22,20.9,SB,Yes,1,-4.79,51.64,-28.2,0,16,Drought,No,Pole
SB19,2014,no,8.464333333333334,22.666666666666668,20.9,SB,Yes,0.91,-4.97,51.44,-27.79,0,16,Drought,No,Pole
SB19,2013,no,8.289333333333333,30.333333333333332,20.9,SB,Yes,0.98,-5.09,51.69,-28.810000000000002,0,16,Drought,No,Pole
SB19,2012,no,8.630666666666666,19,20.9,SB,Yes,0.97,-5.22,51.47,-28.880000000000003,0,16,Drought,No,Pole
SB20,2017,yes,7.05,15.666666666666666,25.3,SB,No,0.96,-5.04,50.93,-26.96,0,17,NoDrought,Yes,Pole
SB20,2016,yes,6.342,21.666666666666668,25.3,SB,No,0.99,-5,51.53,-27.379999999999995,0,17,NoDrought,Yes,Pole
SB20,2015,yes,7.72,27,25.3,SB,Yes,0.9,-5.25,51.01,-27.880000000000003,0,17,Drought,Yes,Pole
SB20,2014,yes,8.582666666666666,24.333333333333332,25.3,SB,Yes,0.84,-5.58,50.88,-27.15,0,17,Drought,Yes,Pole
SB20,2013,yes,8.038333333333334,30.666666666666668,25.3,SB,Yes,0.92,-5.6,50.47,-27.480000000000004,0,17,Drought,Yes,Pole
SB20,2012,yes,8.2283333333333335,13.666666666666666,25.3,SB,Yes,0.78,-5.36,50.78,-27.48,0,17,Drought,Yes,Pole
SB21,2017,no,8.892000000000001,28,22.8,SB,No,0.93,-3.74,50.4,-27.85,0,17,NoDrought,No,Pole
SB21,2016,no,9.025333333333334,28.333333333333332,22.8,SB,No,1.16,-3.84,51.69,-28.330000000000002,0,17,NoDrought,No,Pole
SB21,2015,no,7.585333333333334,26,22.8,SB,Yes,1,-3.85,52.03,-28.620000000000005,0,17,Drought,No,Pole
SB21,2014,no,7.316,32.666666666666664,22.8,SB,Yes,1.02,-4.17,51.83,-27.55,0,17,Drought,No,Pole
SB21,2013,no,9.409333333333334,20.666666666666668,22.8,SB,Yes,0.96,-4.27,51.95,-27.8,0,17,Drought,No,Pole
SB21,2012,no,9.954666666666666,16.666666666666668,22.8,SB,Yes,0.88,-4.48,51.63,-28.5,0,17,Drought,No,Pole
SB22,2017,yes,6.736,19.666666666666668,9.2,SB,No,1.04,-3.95,50.18,-27.56,0,18,NoDrought,Yes,Sapling
SB22,2016,yes,7.211333333333333,26.666666666666668,9.2,SB,No,1.21,-4.52,51.39,-27.5,0,18,NoDrought,Yes,Sapling
SB22,2015,yes,8.777000000000001,19.666666666666668,9.2,SB,Yes,1.09,-4.11,51.11,-28.25,0,18,Drought,Yes,Sapling
SB22,2014,yes,7.127,21,9.2,SB,Yes,1.1,-4.45,51.22,-27.65,0,18,Drought,Yes,Sapling
SB22,2013,yes,7.270333333333333,19,9.2,SB,Yes,1,-4.63,51.23,-27.550000000000004,0,18,Drought,Yes,Sapling
SB22,2012,yes,7.802,16.666666666666668,9.2,SB,Yes,0.97,-4.69,51.74,-27.65,0,18,Drought,Yes,Sapling
SB23,2017,no,6.617,11.333333333333334,11.3,SB,No,0.95,-4.33,50.08,-26.370000000000005,0,18,NoDrought,No,Sapling
SB23,2016,no,6.072333333333333,23,11.3,SB,No,1.09,-4.76,51.04,-26.82,0,18,NoDrought,No,Sapling
SB23,2015,no,7.957333333333334,17,11.3,SB,Yes,0.95,-4.82,51.05,-28.310000000000002,0,18,Drought,No,Sapling
SB23,2014,no,6.825666666666667,13,11.3,SB,Yes,1.03,-4.94,51.5,-26.96,0,18,Drought,No,Sapling
SB23,2013,no,6.900666666666666,18.666666666666668,11.3,SB,Yes,1.11,-5.05,52.19,-27.020000000000003,0,18,Drought,No,Sapling
SB23,2012,no,7.979333333333333,9.666666666666666,11.3,SB,Yes,0.87,-4.98,51.06,-26.97,0,18,Drought,No,Sapling
